TMDB_ID,Title,Facebook Page Name,Facebook Id,Twitter Handle,Twitter Hashtag,Twitter ID,Instagram Handle,Instagram ID,Instagram Hashtag,Klout ID,Release Date,News Search 
131634,The Hunger Games: Mocking Jay part 2,The-Hunger-Games-Mockingjay-Part-2,,TheHungerGames,#MockingjayPart2,,thehungergames,,#MockingjayPart2,30117827273389900,11/20/2015,The Hunger Games
296100,The Night Before,NightBeforeMovieCanada,,TheNightBefore_,#TheNightBefore,,nightbefore,,#TheNightBefore,86131355359985000,11/20/2015,The Night Before
290751,The Secret In Their Eyes,thesecretintheireyes,,,#TheSecretInTheirEyes|#SecretInTheirEyes,,secretintheireyes,,#TheSecretInTheirEyes|#SecretInTheirEyes,,11/20/2015,The Secret In Their Eyes
258480,Carol,carolmoviefans,,CarolMovie,#CarolMovie|#CarolFilm,,carol_film,,#CarolMovie|#CarolFilm,42784225201945600,11/20/2015,Carol'
276907,Legend,LegendFilmUK,,LegendTheFilm,#LegendMovie|#LegendFilm,,legend_movie,,#legendfilm|#legendmovie,135670966241203000,11/20/2015,Legend'
312221,Creed,creedmovie,,creedmovie,#Creed|#CreedMovie|#IFightFor|#Rocky,,creedmovie,,#Creed|#CreedMovie|#IFightFor|#Rocky,156781589595217000,11/25/2015,Creed
105864,The Good Dinosaur ,PixarTheGoodDinosaur,,TheGoodDinosaur,#GoodDino|#Disney,,thegooddinosaur,,#GoodDino|#Disney,275845501036853000,11/25/2015,The Good Dinosaur 
228066,Victor Frankenstein,FrankensteinMovie,,Frankenstein,#VictorFrankenstein,,,,#VictorFrankenstein,91760861905164800,11/25/2015,Victor Frankenstein
306819,The Danish Girl,TheDanishGirlFilm,,danishgirlmov,#TheDanishGirl|#EddieRedmayne|#AliciaVikander,,thedanishgirlfilm,,#TheDanishGirl|#EddieRedmayne |#AliciaVikander ,96545945535149400,11/27/2015,The Danish Girl
287903,Krampus,thekrampusmovie,,KrampusMovie,#KrampusMovie|#Krampus,,krampusfilm,,#KrampusMovie|#Krampus,970525733405783000,12/4/2015,Krampus
225728,Macbeth,Macbeth.The.Movie,,macbeth_movie,#Macbeth,,macbeth_movie,,#Macbeth,74590895908903400,12/4/2015,Macbeth
340275,Chi-Raq,chiraqthemovie,,chiraqthemovie,#chiraqthemovie|#chiraq,,chiraqthemovie,,#chiraqthemovie|#chiraq,109212320628710000,12/4/2015,Chi-Raq
205775,In the Heart of the Sea,IntheHeartoftheSeaMovie,,,#InTheHeartOfTheSea,,,,#InTheHeartOfTheSea,,12/11/2015,In the Heart of the Sea
318846,The Big Short,TheBigShortMovie,,thebigshort,#TheBigShort,,,,#TheBigShort,69242873230155200,12/11/2015,The Big Short
309298,Don Verdean,DonVerdean,,,#DonVerdean,,,,#DonVerdean,,12/11/2015,Don Verdean
140607,Star Wars: The Force Awakens,StarWars,,starwars,#starwars|#theforceawakens,,starwars,,#starwars|#theforceawakens,34902901877348400,12/18/2015,Star Wars: The Force Awakens
258509,Alvin and the Chipmunks: The Road Chip,AlvinMovies,,AlvinMovies,#AlvinMovie,,alvinmovies,,#AlvinMovie,175077463064590000,12/18/2015,Alvin and the Chipmunks
336050,Son of Saul,Son-of-Saul,,sonofsaulfilm,#SonofSaul,,,,#SonofSaul,174795987198440000,12/18/2015,Son of Saul
311291,45 Years,45-Years,,45YearsFilm,#45Years,,,,#45Years,120471315167458000,12/23/2015,45 Years'
321741,Concussion,ConcussionMovie,,ConcussionMovie,#ConcussionMovie|#ForThePlayers|#ForTheGame,,concussionmovie,,#ConcussionMovie|#ForThePlayers|#ForTheGame,168040589116227000,12/25/2015,Concussion'
274167,Daddy's Home,DaddysHomeMovie,,DaddysHome,#DaddysHome,,daddyshomemovie,,#DaddysHome,190277109407490000,12/25/2015,Joy'
274479,Joy,JoytheMovie,,JoyTheMovie,#JoyMovie,,joythemovie,,#JoyMovie,65302222264948700,12/25/2015,
257088,Point Break,PointBreakMovie,,PointBreak,#PointBreak|#ChasingThe8,,pointbreak,,#PointBreak|#ChasingThe8,195625131969528000,12/25/2015,Point Break'
273248,The Hateful Eight,thehatefuleightmovie,,thehatefuleight,#thehatefuleight|#QuentinTarantino,,thehatefuleightmovie,,#thehatefuleight|#QuentinTarantino,194217761228690000,12/25/2015,The Hateful Eight
291270,Anomalisa,Anomalisa,,Anomalisamovie,#Anomalisa,,,,#Anomalisa,56857954680813400,12/25/2015,Anomalisa
329440,The Forest,TheForestIsReal,,theforestisreal,#TheForestIsReal|#SuicideForest|#scariestplaceonearth,,theforestisreal,,#TheForestIsReal|#SuicideForest|#scariestplaceonearth,97671845996091500,1/8/2016,The Forest'
281957,The Revenant,RevenantMovie,,RevenantMovie,#TheRevenant,,revenantmovie,,#TheRevenant,242068504768050000,1/8/2016,The Revenant
300671,13 Hours: The Secret Soliders of Benghazi,13HoursMovie,,13hours,#13hours,,,,#13hours,108930844023773000,1/15/2016,13 Hours: The Secret Soliders of Benghazi
299687,The 5th Wave,5thWaveMovie,,5thWaveMovie,#5thWaveMovie|#SurviveThe5thWave,,5thwavemovie,,#5thWaveMovie|#SurviveThe5thWave,226587377562752000,1/15/2016,The 5th Wave
276905,Norm of the North,NormOfTheNorthMovie,,NormOfNorth,#NormOfTheNorth|#ShakeYourBearThing,,normofthenorthmovie,,#NormOfTheNorth |#ShakeYourBearThing,171981238908687000,1/15/2016,Norm of the North
323675,Ride Along 2,ridealongthemovie,,RideAlong,#RideAlong2,,ridealong,,#RideAlong2,228276221434371000,1/15/2016,Ride Along 2
352208,Where to Invade Next,Where-to-Invade-Next,,,#WhereToInvadeNext,,,,#WhereToInvadeNext,,1/15/2016,Where to Invade Next
321258,The Boy,TheBoyMovie,,TheBoyMovie,#TheBoyMovie,,theboymovie,,#TheBoyMovie,75435323037531100,1/22/2016,The Boy'
291870,Dirty Grandpa,DirtyGrandpa,,DirtyGrandpa,#dirtygrandpa,,dirtygrandpa,,#dirtygrandpa,146085542459053000,1/22/2016,Dirty Grandpa
140300,Kung Fu Panda 3,KungFuPanda,,,#kungfupanda|#kungfupanda3,,,,#kungfupanda|#kungfupanda3,,1/29/2016,Kung Fu Panda 3
270487,"Hail, Caesar!",HailCaesarMovie,,HailCaesarMovie,#HailCaesar,,hailcaesarmovie,,#HailCaesar,219831985888293000,2/5/2016,"Hail, Caesar!"
58431,Pride and Prejudice and Zombies,PPZMovie,,PPZmovie,#PPZmovie,,ppzmovie,,#PPZmovie,54606173200891400,2/5/2016,Pride and Prejudice and Zombies
241257,Regression,Regression,,,#Regression,,,,#Regression,,2/5/2016,Regression'
293660,Deadpool,DeadpoolMovie,,deadpoolmovie,#Deadpool,,deadpoolmovie,,#Deadpool,175077461218843000,2/12/2016,Deadpool
259694,How to be Single,HowToBeSingleTheMovie,,HTBSMovie,#HowToBeSingle,,howtobesinglemovie,,#HowToBeSingle|#HowToBeSingleMovie|#HowToBeSingleTheMovie|#HTBS|#HTBSMovie|#HTBSTheMovie,,2/12/2016,How to be Single
329833,Zoolander 2,ZoolanderMovie,,,#Zoolander2,,zoolander,,#Zoolander2|#BlueSteel,,2/12/2016,Zoolander 2
146198,Triple 9,Triple9Movie,,Triple9Movie,#Triple9,,,,#triple9,215046907339461000,2/19/2016,Triple 9
267193,The Brothers Grimsby,BrothersGrimsby,,BrothersGrimsby,#TheBrothersGrimsby,,brothersgrimsby,,#TheBrothersGrimsby,89790547168672800,2/26/2016,The Brothers Grimsby
267860,London Has Fallen,LondonHasFallenOfficial,,londonfallen,#LondonHasFallen,,,,#LondonHasFallen,68679906884499900,3/4/2016,London Has Fallen
269149,Zootopia,DisneyZootopia,,,#Zootopia,,,,#Zootopia,,3/4/2016,Zootopia
86835,Knight of Cups,Knight-of-Cups,,,#KnightsofCups,,,,#KnightsofCups,,3/4/2016,Knight of Cups
318850,The Young Messiah,TheYoungMessiahMovie,,youngmessiahMOV,#TheYoungMessiah,,,,,,3/11/2016,The Young Messiah
308453,The Bronze,TheBronzeMovieofficial,,,#TheBronze,,,,,,3/11/2016,The Bronze
320588,"Hello, My Name is Doris",hellomynameisdoris,,,,,,,,,3/11/2016,"Hello, My Name is Doris"
262504,The Divergent Series: Allegiant - Part 1,DivergentMovieCA,,Divergent,#Allegiant|#WeAreAllegiant|#Divergent,,thedivergentseries,,#WeAreAllegiant|#Allegiant|#Divergent,36310276761190000,3/18/2016,The Divergent Series: Allegiant - Part 1
209112,Batman v. Superman: Dawn of Justice,batmanvsuperman,,BatmanvSuperman,#BatmanvSuperman,,batmanvsuperman,,#BatmanvSuperman,106397549837963000,3/25/2016,Batman v. Superman: Dawn of Justice
68735,Warcraft,WarcraftMovie,,warcraftmovie,#WarcraftMovie,,warcraftmovie,,#WarcraftMovie,192247430151495000,6/10/2016,Warcraft
241259,Alice Through The Looking Glass,DisneyAlice,,,#AliceThroughTheLookingGlass|#DisneyAlice,,disneyalice,,#AliceThroughTheLookingGlass|#DisneyAlice,,5/27/2016,Alice Through The Looking Glass
297761,Suicide Squad,SuicideSquad,,SuicideSquadWB,#suicidesquad,,suicidesquadmovie,,#suicidesquad,,8/5/2016,Suicide Squad
246655,X-Men: Apocalypse,xmenmovies,,XMenMovies,#XMen|#xmenapocalypse,,xmenmovies,,#XMen|#xmenapocalypse,,5/27/2016,X-Men: Apocalypse
259316,Fantastic Beasts and Where to Find Them,fantasticbeastsmovie,,FantasticBeasts,#FantasticBeasts,,fantasticbeastsmovie,,#FantasticBeasts,,11/18/2016,Fantastic Beasts and Where to Find Them
271110,Captain America: Civil War,CaptainAmerica,,CaptainAmerica,#captainamerica|#CaptainAmericaCivilWar,,,,#captainamerica|#CaptainAmericaCivilWar,,5/6/2016,Captain America: Civil War
43074,Ghostbusters ,Ghostbusters,,Ghostbusters,#Ghostbusters,,ghostbusters,,#ghostbusters,,7/15/2016,Ghostbusters 
